Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13 03:00:00:00:00,40065.46875,40147.98438,40057.52734,40145.20313,40145.20313,76400640
2022-04-13 03:15:00:00:00,40143.97656,40233.8125,40143.97656,40222.42188,40222.42188,148353024
2022-04-13 03:30:00:00:00,40215.17188,40215.17188,40154.0625,40175.47266,40175.47266,19859456
2022-04-13 03:45:00:00:00,40175.15234,40178.85938,40110.71094,40110.71094,40110.71094,176128
2022-04-13 04:00:00:00:00,40110.14063,40125.73047,40054.50391,40054.50391,40054.50391,0
2022-04-13 04:15:00:00:00,40057.15234,40057.15234,40027.95703,40027.95703,40027.95703,0
2022-04-13 04:30:00:00:00,40014.95703,40022.16016,39983.55078,39984.91016,39984.91016,0
2022-04-13 04:45:00:00:00,39988.22656,40107.25781,39988.22656,40107.25781,40107.25781,25655296
2022-04-13 05:00:00:00:00,40136.69141,40153.75781,40130.60938,40130.60938,40130.60938,0
2022-04-13 05:15:00:00:00,40125.69922,40139.21094,40113.50781,40115.76172,40115.76172,2525184
2022-04-13 05:30:00:00:00,40110.21484,40186.41406,40110.16016,40150.35547,40150.35547,13410304
2022-04-13 05:45:00:00:00,40149.46094,40194.23438,40140.55859,40191.74609,40191.74609,2820096
2022-04-13 06:00:00:00:00,40197.22266,40215.8125,40163.92578,40163.92578,40163.92578,0
2022-04-13 06:15:00:00:00,40160.86719,40161.39063,40115.56641,40115.56641,40115.56641,1562624
2022-04-13 06:30:00:00:00,40107.76953,40133.72656,40100.37109,40133.72656,40133.72656,3178496
2022-04-13 06:45:00:00:00,40121.81641,40121.81641,39986.41016,39993.71484,39993.71484,82550784
2022-04-13 07:00:00:00:00,39993.37891,39995.46094,39974.52734,39995.46094,39995.46094,0
2022-04-13 07:15:00:00:00,40018.0625,40141.5,40018.0625,40141.5,40141.5,967092224
2022-04-13 07:30:00:00:00,40139.83203,40165.80078,40135.28125,40135.28125,40135.28125,38668288
2022-04-13 07:45:00:00:00,40131.87891,40154.98438,40117.75781,40139.78516,40139.78516,37584896
2022-04-13 08:00:00:00:00,40137.21484,40179.60156,40137.21484,40177.27734,40177.27734,14397440
2022-04-13 08:15:00:00:00,40150.57813,40150.57813,40093.26563,40093.26563,40093.26563,6596794368
2022-04-13 08:30:00:00:00,40090.87109,40125.12109,40080.51563,40125.12109,40125.12109,0
2022-04-13 08:45:00:00:00,40144.05078,40178.48438,40144.05078,40160.16406,40160.16406,6718251008
2022-04-13 09:00:00:00:00,40163.98828,40183.02344,40144.41406,40152.51563,40152.51563,802889728
2022-04-13 09:15:00:00:00,40162.06641,40163.25,40133.42578,40138.09375,40138.09375,28844830720
2022-04-13 09:30:00:00:00,40135.97656,40135.97656,40075.73047,40075.73047,40075.73047,1177600
2022-04-13 09:45:00:00:00,40073.91797,40129.93359,40070.05859,40098.55859,40098.55859,16238592
2022-04-13 10:00:00:00:00,40088.94141,40121.04688,40085.09375,40092.78516,40092.78516,10463232
2022-04-13 10:15:00:00:00,40084.23438,40084.23438,39906.6875,39910.5625,39910.5625,7500605440
2022-04-13 10:30:00:00:00,39899.20703,39923.30469,39881.05469,39901.1875,39901.1875,142112768
2022-04-13 10:45:00:00:00,39893.80859,39930.08203,39825.80859,39834.92188,39834.92188,27604627456
